                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1895,                 1.8047,                 1.4421,                0.78875,                0.57346,                 0.5227,                0.28971,                 1.4601,                 1.4936,                 1.8234,             0.00041536,             0.00041536,             0.00041536
                      2,                 1.1356,                 1.2526,                 1.3895,                0.86932,                0.62404,                0.60325,                0.42982,                 1.0849,                 1.0875,                  1.389,             0.00082516,             0.00082516,             0.00082516
                      3,                 1.1128,                 1.1096,                 1.3676,                0.83514,                0.58951,                0.59026,                0.34573,                 1.3425,                 1.1403,                 1.7358,              0.0012281,              0.0012281,              0.0012281
                      4,                 1.0921,                 1.0579,                 1.3568,                0.86201,                 0.5796,                0.60728,                  0.432,                 1.0605,                0.99416,                 1.3589,              0.0012191,              0.0012191,              0.0012191
                      5,                  1.064,                 1.0017,                 1.3421,                0.77193,                0.66737,                0.66992,                0.48428,                 1.0129,                0.91323,                   1.34,              0.0012191,              0.0012191,              0.0012191
                      6,                 1.0264,                0.95778,                 1.3085,                 0.7872,                0.67073,                0.67245,                0.48682,                  1.088,                 0.8599,                 1.3829,              0.0012087,              0.0012087,              0.0012087
                      7,                 1.0045,                 0.9162,                 1.2962,                0.88329,                0.62983,                0.64672,                0.47764,                0.97341,                0.85234,                 1.3084,              0.0011984,              0.0011984,              0.0011984
                      8,                0.98827,                0.89679,                 1.2811,                0.79427,                0.64491,                0.66957,                0.49329,                0.95362,                0.82703,                 1.2787,              0.0011881,              0.0011881,              0.0011881
                      9,                0.96396,                0.87899,                 1.2671,                0.89436,                0.63472,                0.64978,                0.49684,                0.94544,                0.81396,                 1.2482,              0.0011778,              0.0011778,              0.0011778
                     10,                0.94924,                0.85294,                 1.2578,                 0.6598,                0.68927,                0.68027,                0.50442,                0.92758,                0.78655,                  1.239,              0.0011675,              0.0011675,              0.0011675
                     11,                0.93394,                0.83224,                 1.2503,                 0.7111,                  0.639,                0.64812,                0.48856,                0.97109,                 0.8713,                  1.255,              0.0011572,              0.0011572,              0.0011572
                     12,                 0.9184,                  0.817,                 1.2322,                0.72984,                0.70562,                0.70595,                0.52946,                0.89464,                0.76728,                 1.2165,              0.0011469,              0.0011469,              0.0011469
                     13,                0.90698,                0.80893,                 1.2282,                0.77741,                0.70352,                0.72666,                0.53835,                0.88851,                0.72764,                 1.2138,              0.0011366,              0.0011366,              0.0011366
                     14,                0.89336,                0.78095,                 1.2145,                 0.7912,                0.68818,                0.71092,                0.55179,                0.87802,                0.71335,                 1.2004,              0.0011263,              0.0011263,              0.0011263
                     15,                0.88773,                0.77751,                 1.2141,                 0.8848,                0.68538,                0.72317,                0.54509,                0.89389,                0.70511,                 1.2249,              0.0011159,              0.0011159,              0.0011159
                     16,                0.87622,                0.76292,                 1.2087,                0.71482,                0.69241,                0.70121,                0.54774,                0.83154,                0.72678,                 1.1565,              0.0011056,              0.0011056,              0.0011056
                     17,                 0.8596,                0.75026,                 1.1935,                0.77519,                0.66003,                0.70652,                0.55856,                0.84093,                0.68826,                  1.178,              0.0010953,              0.0010953,              0.0010953
                     18,                0.85549,                0.73802,                 1.1962,                0.84481,                0.70364,                0.73608,                0.56977,                 0.8456,                0.68558,                 1.1795,               0.001085,               0.001085,               0.001085
                     19,                0.84296,                 0.7197,                 1.1848,                0.69946,                0.73798,                 0.7279,                0.57657,                0.81213,                0.63258,                 1.1332,              0.0010747,              0.0010747,              0.0010747
                     20,                0.84388,                0.71406,                 1.1883,                0.73544,                0.72488,                0.74233,                0.58662,                0.79915,                0.69574,                 1.1201,              0.0010644,              0.0010644,              0.0010644
                     21,                0.83261,                0.69864,                 1.1768,                0.87117,                0.67316,                0.72606,                0.56971,                0.82704,                0.69377,                 1.1405,              0.0010541,              0.0010541,              0.0010541
                     22,                0.82277,                0.69337,                 1.1709,                0.74353,                 0.7189,                0.75606,                0.59011,                0.80307,                0.62451,                 1.1326,              0.0010438,              0.0010438,              0.0010438
                     23,                0.81499,                0.68061,                  1.165,                0.81457,                0.65467,                0.73668,                0.55968,                0.83711,                0.62631,                 1.1602,              0.0010334,              0.0010334,              0.0010334
                     24,                0.80898,                0.67834,                 1.1604,                0.93661,                0.68485,                0.74581,                0.57818,                0.81658,                0.61297,                 1.1471,              0.0010231,              0.0010231,              0.0010231
                     25,                0.80383,                0.66647,                 1.1634,                0.71978,                0.71939,                0.73622,                0.58583,                 0.8094,                 0.6959,                 1.1316,              0.0010128,              0.0010128,              0.0010128
                     26,                0.80194,                0.66497,                 1.1571,                0.85376,                0.67688,                0.76761,                0.60554,                0.76738,                0.58438,                 1.1135,              0.0010025,              0.0010025,              0.0010025
                     27,                0.79499,                0.65924,                 1.1528,                0.84543,                0.68577,                0.74582,                0.60265,                0.78584,                0.63114,                 1.1078,             0.00099219,             0.00099219,             0.00099219
